CaseID,Attorney,Paralegal,Legal Assistant,Status,Open Date,Pending Date,Close Date,Jurisdiction,Case Type
ID-0001,Attorney 2,Paralegal 4,Legal Assistant 2,Pending,2020-01-02,2024-05-08,,USCIS,Employment authorization
ID-0002,Attorney 1,Paralegal 3,Legal Assistant 1,Pending,2020-01-03,2025-10-03,,USCIS,Naturalization
ID-0003,Attorney 4,Paralegal 1,Legal Assistant 1,Pending,2020-01-03,2024-10-10,,USCIS,Employment authorization
ID-0004,Attorney 3,Paralegal 3,Legal Assistant 2,Closed,2020-01-03,2024-10-07,2025-08-24,USCIS,Adjustment of Status
ID-0005,Attorney 1,Paralegal 2,Legal Assistant 2,Closed,2020-01-03,2022-08-26,2025-02-28,BIA,Motion to reopen
ID-0006,Attorney 3,Paralegal 1,Legal Assistant 1,Closed,2020-01-04,2023-11-17,2024-08-15,USCIS,Employment authorization
ID-0007,Attorney 1,Paralegal 5,Legal Assistant 2,Closed,2020-01-06,2021-04-12,2021-12-04,USCIS,Relative Petition
ID-0008,Attorney 3,Paralegal 1,Legal Assistant 1,Closed,2020-01-06,2022-10-15,2023-03-25,BIA,Asylum
ID-0009,Attorney 2,Paralegal 1,Legal Assistant 3,Closed,2020-01-07,2021-02-23,2024-06-21,USCIS,I-90
ID-0010,Attorney 1,Paralegal 4,Legal Assistant 2,Closed,2020-01-08,2020-03-08,2022-10-29,Immigration Court,Cancellation of removal
ID-0011,Attorney 3,Paralegal 1,Legal Assistant 1,Pending,2020-01-09,2025-02-21,,USCIS,Adjustment of Status
ID-0012,Attorney 5,Paralegal 1,Legal Assistant 1,Open,2020-01-12,,,USCIS,Adjustment of Status
ID-0013,Attorney 4,Paralegal 1,Legal Assistant 3,Open,2020-01-13,,,USCIS,Relative Petition
ID-0014,Attorney 2,Paralegal 3,Legal Assistant 3,Closed,2020-01-14,2024-11-01,2025-05-29,USCIS,Employment authorization
ID-0015,Attorney 3,Paralegal 4,Legal Assistant 1,Pending,2020-01-14,2023-01-31,,BIA,Asylum
ID-0016,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-01-14,2020-02-15,2024-11-30,USCIS,Humanitarian parole
ID-0017,Attorney 4,Paralegal 2,Legal Assistant 1,Closed,2020-01-14,2020-07-29,2020-09-01,USCIS,I-601
ID-0018,Attorney 4,Paralegal 2,Legal Assistant 3,Open,2020-01-14,,,USCIS,I-90
ID-0019,Attorney 1,Paralegal 2,Legal Assistant 3,Open,2020-01-16,,,USCIS,Employment authorization
ID-0020,Attorney 1,Paralegal 3,Legal Assistant 2,Open,2020-01-16,,,USCIS,Humanitarian parole
ID-0021,Attorney 1,Paralegal 5,Legal Assistant 1,Open,2020-01-17,,,USCIS,U Visa
ID-0022,Attorney 1,Paralegal 1,Legal Assistant 3,Closed,2020-01-17,2020-09-17,2024-09-13,USCIS,Adjustment of Status
